,Доза_e_см2,Pb_4f7,I_3d5,Cs_3d5,N_1s,C_1s,O_1s,Pb_I_ratio,Organic_%,Degrad_index,Roughness_nm,Band_gap_eV
Доза_e_см2,1.0,0.8096853841139479,-0.8929986009287031,0.6686070408100597,-0.05024038488659816,-0.048085293869050735,0.91959861553186,-0.9891997249334238,-0.7921528505906129,0.999182084780731,0.9989188920549921,-0.9978580946409422
Pb_4f7,0.8096853841139479,1.0,-0.4589241465377103,0.9777628994748655,0.5112886394685645,0.28515678728197774,0.9751405812138464,-0.8154354098305268,-0.6755121311454892,0.8126778730904126,0.8181126354684238,-0.8150806740251457
I_3d5,-0.8929986009287031,-0.4589241465377103,1.0,-0.262393791619431,0.4681621934525953,0.2914815889696045,-0.6443902656689448,0.8722380351975028,0.6812270312729596,-0.8894654231755844,-0.8848991088149508,0.885618304860197
Cs_3d5,0.6686070408100597,0.9777628994748655,-0.262393791619431,1.0,0.6658072791374006,0.37850538271811046,0.9069864948613314,-0.6797523333360452,-0.5728693330822694,0.6726911036011729,0.6796715445428221,-0.6762088160829864
N_1s,-0.05024038488659816,0.5112886394685645,0.4681621934525953,0.6658072791374006,1.0,0.447393473955778,0.32329770683038783,0.024468724801886905,0.06594442596041163,-0.048360027611040725,-0.03050228061863794,0.04561519358335764
C_1s,-0.048085293869050735,0.28515678728197774,0.2914815889696045,0.37850538271811046,0.447393473955778,1.0,0.17273399948942364,0.025947576134445385,0.16831391200031942,-0.04842062907123629,-0.04366837915025722,0.03716578667963949
O_1s,0.91959861553186,0.9751405812138464,-0.6443902656689448,0.9069864948613314,0.32329770683038783,0.17273399948942364,1.0,-0.9193698556771963,-0.7513016682966644,0.9212930237203325,0.9248317922472223,-0.9224015994749831
Pb_I_ratio,-0.9891997249334238,-0.8154354098305268,0.8722380351975028,-0.6797523333360452,0.024468724801886905,0.025947576134445385,-0.9193698556771963,1.0,0.7964260131115639,-0.9885071415326236,-0.9875638743491685,0.98824006959333
Organic_%,-0.7921528505906129,-0.6755121311454892,0.6812270312729596,-0.5728693330822694,0.06594442596041163,0.16831391200031942,-0.7513016682966644,0.7964260131115639,1.0,-0.7978832849664065,-0.7847520966603737,0.7956035987711576
Degrad_index,0.999182084780731,0.8126778730904126,-0.8894654231755844,0.6726911036011729,-0.048360027611040725,-0.04842062907123629,0.9212930237203325,-0.9885071415326236,-0.7978832849664065,1.0,0.9985132206123084,-0.9977309603557845
Roughness_nm,0.9989188920549921,0.8181126354684238,-0.8848991088149508,0.6796715445428221,-0.03050228061863794,-0.04366837915025722,0.9248317922472223,-0.9875638743491685,-0.7847520966603737,0.9985132206123084,1.0,-0.997095271799251
Band_gap_eV,-0.9978580946409422,-0.8150806740251457,0.885618304860197,-0.6762088160829864,0.04561519358335764,0.03716578667963949,-0.9224015994749831,0.98824006959333,0.7956035987711576,-0.9977309603557845,-0.997095271799251,1.0
