,Модификатор,Доза_e_см2,Pb_4f7,I_3d5,Cs_3d5,N_1s,C_1s,O_1s,Pb_I_ratio,Organic_%,Degrad_index,Roughness_nm,Band_gap_eV
Модификатор,1.0,0.0,0.496222346882209,0.0,0.0,0.0,0.3453765770888096,0.28473626562838894,0.0,0.22870534508063292,0.0,0.0,0.0
Доза_e_см2,0.0,1.0,0.6049622961260924,0.644536157056528,0.7963447371952341,0.0,0.6107477376765843,0.9590854229469703,0.9949987227914973,0.9881075879068549,0.8596884110518197,1.0,1.0
Pb_4f7,0.496222346882209,0.6049622961260924,1.0,0.9239751085065753,0.8702144489779818,0.6278731555177133,0.9118817259025886,0.9287855955505915,0.45779989157918183,0.6787184896013672,0.5516420660685382,0.7857819417437556,0.48502795550475253
I_3d5,0.0,0.644536157056528,0.9239751085065753,1.0,0.8410922548574469,0.4817056823587903,0.711493741406684,0.870585258993513,0.7242840923838395,0.5186502047912344,0.8515010366019243,0.6576386919103389,0.7661629056845095
Cs_3d5,0.0,0.7963447371952341,0.8702144489779818,0.8410922548574469,1.0,0.8880274036953468,0.6785119950697036,0.9640474500596011,0.6279065073119344,0.681873001983012,0.39191321408449076,0.7794336293064709,0.5527314424866112
N_1s,0.0,0.0,0.6278731555177133,0.4817056823587903,0.8880274036953468,1.0,0.6466049759035658,0.8265819955485231,0.0,0.6340008611925467,0.0,0.5326087210030755,0.0
C_1s,0.3453765770888096,0.6107477376765843,0.9118817259025886,0.711493741406684,0.6785119950697036,0.6466049759035658,1.0,0.7622747960237487,0.0,0.17230819910712472,0.6955981861603019,0.73431392229161,0.41043593369968717
O_1s,0.28473626562838894,0.9590854229469703,0.9287855955505915,0.870585258993513,0.9640474500596011,0.8265819955485231,0.7622747960237487,1.0,0.768025823488868,0.692373185274761,0.7276862788211216,0.8896320362496416,0.6073417808086552
Pb_I_ratio,0.0,0.9949987227914973,0.45779989157918183,0.7242840923838395,0.6279065073119344,0.0,0.0,0.768025823488868,1.0,0.8731221674267641,0.8669466997765138,0.8398128201412961,0.8664327919282142
Organic_%,0.22870534508063292,0.9881075879068549,0.6787184896013672,0.5186502047912344,0.681873001983012,0.6340008611925467,0.17230819910712472,0.692373185274761,0.8731221674267641,1.0,0.746501327202684,0.7935953151938491,0.8038550411495653
Degrad_index,0.0,0.8596884110518197,0.5516420660685382,0.8515010366019243,0.39191321408449076,0.0,0.6955981861603019,0.7276862788211216,0.8669466997765138,0.746501327202684,1.0,0.961753631853764,0.9846446082530502
Roughness_nm,0.0,1.0,0.7857819417437556,0.6576386919103389,0.7794336293064709,0.5326087210030755,0.73431392229161,0.8896320362496416,0.8398128201412961,0.7935953151938491,0.961753631853764,1.0,0.9735660668741615
Band_gap_eV,0.0,1.0,0.48502795550475253,0.7661629056845095,0.5527314424866112,0.0,0.41043593369968717,0.6073417808086552,0.8664327919282142,0.8038550411495653,0.9846446082530502,0.9735660668741615,1.0
